acc_S, tp = 0, ts = 0, a = 10
acc_S, tp = 1, ts = 0, a = 90
mgr_S, tp = 2, ts = 0, m = 0, a = 28
mgr_S, tp = 3, ts = 0, m = 0, a = 30
mgr_S, tp = 4, ts = 0, m = 0, a = 68
mgr_S, tp = 5, ts = 0, m = 0, a = 78
mgr_S, tp = 6, ts = 0, m = 0, a = 80
mgr_S, tp = 7, ts = 0, m = 0, a = 90
mgr_S, tp = 8, ts = 0, m = 1, a = 2
mgr_S, tp = 9, ts = 0, m = 1, a = 6
mgr_S, tp = 10, ts = 0, m = 1, a = 20
mgr_S, tp = 11, ts = 0, m = 2, a = 90
mgr_S, tp = 12, ts = 0, m = 3, a = 2
mgr_S, tp = 13, ts = 0, m = 3, a = 10
mgr_S, tp = 14, ts = 0, m = 3, a = 58
mgr_S, tp = 15, ts = 0, m = 4, a = 10
mgr_S, tp = 16, ts = 0, m = 5, a = 4
mgr_S, tp = 17, ts = 0, m = 5, a = 44
mgr_S, tp = 18, ts = 0, m = 5, a = 70
mgr_S, tp = 19, ts = 0, m = 5, a = 80
mgr_S, tp = 20, ts = 0, m = 6, a = 12
mgr_S, tp = 21, ts = 0, m = 6, a = 46
mgr_S, tp = 22, ts = 0, m = 7, a = 40
mgr_S, tp = 23, ts = 0, m = 8, a = 26
mgr_S, tp = 24, ts = 0, m = 9, a = 28
mgr_S, tp = 25, ts = 0, m = 9, a = 74
mgr_S, tp = 26, ts = 0, m = 9, a = 78
mgr_S, tp = 27, ts = 0, m = 10, a = 26
mgr_S, tp = 28, ts = 0, m = 10, a = 39
acc_S, tp = 29, ts = 1, a = 68
acc_S, tp = 30, ts = 1, a = 74
mgr_S, tp = 31, ts = 1, m = 0, a = 10
mgr_S, tp = 32, ts = 1, m = 0, a = 24
mgr_S, tp = 33, ts = 1, m = 0, a = 34
mgr_S, tp = 34, ts = 1, m = 0, a = 52
mgr_S, tp = 35, ts = 1, m = 0, a = 54
mgr_S, tp = 36, ts = 1, m = 3, a = 42
mgr_S, tp = 37, ts = 1, m = 3, a = 86
mgr_S, tp = 38, ts = 1, m = 3, a = 92
mgr_S, tp = 39, ts = 1, m = 4, a = 18
mgr_S, tp = 40, ts = 1, m = 4, a = 38
mgr_S, tp = 41, ts = 1, m = 5, a = 10
mgr_S, tp = 42, ts = 1, m = 5, a = 46
mgr_S, tp = 43, ts = 1, m = 5, a = 88
mgr_S, tp = 44, ts = 1, m = 6, a = 70
mgr_S, tp = 45, ts = 1, m = 7, a = 28
mgr_S, tp = 46, ts = 1, m = 9, a = 48
mgr_S, tp = 47, ts = 1, m = 9, a = 88
mgr_S, tp = 48, ts = 1, m = 9, a = 90
mgr_S, tp = 49, ts = 1, m = 10, a = 32
mgr_S, tp = 50, ts = 1, m = 10, a = 46
mgr_S, tp = 51, ts = 1, m = 10, a = 47
mgr_S, tp = 52, ts = 1, m = 10, a = 89
acc_S, tp = 53, ts = 2, a = 30
acc_S, tp = 54, ts = 2, a = 52
mgr_S, tp = 55, ts = 2, m = 0, a = 84
mgr_S, tp = 56, ts = 2, m = 2, a = 8
mgr_S, tp = 57, ts = 2, m = 2, a = 18
mgr_S, tp = 58, ts = 2, m = 2, a = 62
mgr_S, tp = 59, ts = 2, m = 2, a = 74
mgr_S, tp = 60, ts = 2, m = 2, a = 86
mgr_S, tp = 61, ts = 2, m = 3, a = 68
mgr_S, tp = 62, ts = 2, m = 3, a = 80
mgr_S, tp = 63, ts = 2, m = 3, a = 90
mgr_S, tp = 64, ts = 2, m = 3, a = 94
mgr_S, tp = 65, ts = 2, m = 4, a = 90
mgr_S, tp = 66, ts = 2, m = 6, a = 0
mgr_S, tp = 67, ts = 2, m = 6, a = 8
mgr_S, tp = 68, ts = 2, m = 6, a = 20
mgr_S, tp = 69, ts = 2, m = 6, a = 92
mgr_S, tp = 70, ts = 2, m = 7, a = 14
mgr_S, tp = 71, ts = 2, m = 7, a = 18
mgr_S, tp = 72, ts = 2, m = 8, a = 2
mgr_S, tp = 73, ts = 2, m = 8, a = 40
mgr_S, tp = 74, ts = 2, m = 8, a = 88
mgr_S, tp = 75, ts = 2, m = 9, a = 84
mgr_S, tp = 76, ts = 2, m = 10, a = 4
mgr_S, tp = 77, ts = 2, m = 10, a = 35
mgr_S, tp = 78, ts = 2, m = 10, a = 51
mgr_S, tp = 79, ts = 2, m = 10, a = 61
acc_S, tp = 80, ts = 3, a = 4
acc_S, tp = 81, ts = 3, a = 34
acc_S, tp = 82, ts = 3, a = 78
mgr_S, tp = 83, ts = 3, m = 0, a = 4
mgr_S, tp = 84, ts = 3, m = 0, a = 26
mgr_S, tp = 85, ts = 3, m = 0, a = 82
mgr_S, tp = 86, ts = 3, m = 1, a = 4
mgr_S, tp = 87, ts = 3, m = 1, a = 18
mgr_S, tp = 88, ts = 3, m = 1, a = 34
mgr_S, tp = 89, ts = 3, m = 1, a = 44
mgr_S, tp = 90, ts = 3, m = 2, a = 2
mgr_S, tp = 91, ts = 3, m = 2, a = 50
mgr_S, tp = 92, ts = 3, m = 2, a = 64
mgr_S, tp = 93, ts = 3, m = 2, a = 66
mgr_S, tp = 94, ts = 3, m = 2, a = 96
mgr_S, tp = 95, ts = 3, m = 3, a = 40
mgr_S, tp = 96, ts = 3, m = 4, a = 2
mgr_S, tp = 97, ts = 3, m = 4, a = 54
mgr_S, tp = 98, ts = 3, m = 4, a = 60
mgr_S, tp = 99, ts = 3, m = 5, a = 8
mgr_S, tp = 100, ts = 3, m = 5, a = 12
mgr_S, tp = 101, ts = 3, m = 5, a = 28
mgr_S, tp = 102, ts = 3, m = 5, a = 40
mgr_S, tp = 103, ts = 3, m = 5, a = 52
mgr_S, tp = 104, ts = 3, m = 5, a = 58
mgr_S, tp = 105, ts = 3, m = 6, a = 10
mgr_S, tp = 106, ts = 3, m = 6, a = 68
mgr_S, tp = 107, ts = 3, m = 6, a = 82
mgr_S, tp = 108, ts = 3, m = 7, a = 54
mgr_S, tp = 109, ts = 3, m = 7, a = 86
mgr_S, tp = 110, ts = 3, m = 8, a = 54
mgr_S, tp = 111, ts = 3, m = 8, a = 90
mgr_S, tp = 112, ts = 3, m = 8, a = 92
mgr_S, tp = 113, ts = 3, m = 9, a = 4
mgr_S, tp = 114, ts = 3, m = 9, a = 16
mgr_S, tp = 115, ts = 3, m = 9, a = 82
mgr_S, tp = 116, ts = 3, m = 9, a = 94
mgr_S, tp = 117, ts = 3, m = 10, a = 22
mgr_S, tp = 118, ts = 3, m = 10, a = 48
mgr_S, tp = 119, ts = 3, m = 10, a = 50
acc_S, tp = 120, ts = 4, a = 26
mgr_S, tp = 121, ts = 4, m = 0, a = 44
mgr_S, tp = 122, ts = 4, m = 1, a = 0
mgr_S, tp = 123, ts = 4, m = 1, a = 58
mgr_S, tp = 124, ts = 4, m = 1, a = 90
mgr_S, tp = 125, ts = 4, m = 2, a = 60
mgr_S, tp = 126, ts = 4, m = 3, a = 14
mgr_S, tp = 127, ts = 4, m = 4, a = 64
mgr_S, tp = 128, ts = 4, m = 4, a = 84
mgr_S, tp = 129, ts = 4, m = 4, a = 86
mgr_S, tp = 130, ts = 4, m = 5, a = 38
mgr_S, tp = 131, ts = 4, m = 6, a = 26
mgr_S, tp = 132, ts = 4, m = 6, a = 56
mgr_S, tp = 133, ts = 4, m = 7, a = 8
mgr_S, tp = 134, ts = 4, m = 7, a = 58
mgr_S, tp = 135, ts = 4, m = 7, a = 60
mgr_S, tp = 136, ts = 4, m = 7, a = 92
mgr_S, tp = 137, ts = 4, m = 8, a = 4
mgr_S, tp = 138, ts = 4, m = 8, a = 42
mgr_S, tp = 139, ts = 4, m = 9, a = 26
mgr_S, tp = 140, ts = 4, m = 9, a = 40
mgr_S, tp = 141, ts = 4, m = 9, a = 44
mgr_S, tp = 142, ts = 4, m = 9, a = 80
mgr_S, tp = 143, ts = 4, m = 10, a = 11
mgr_S, tp = 144, ts = 4, m = 10, a = 15
mgr_S, tp = 145, ts = 4, m = 10, a = 19
mgr_S, tp = 146, ts = 4, m = 10, a = 20
mgr_S, tp = 147, ts = 4, m = 10, a = 29
mgr_S, tp = 148, ts = 4, m = 10, a = 45
mgr_S, tp = 149, ts = 4, m = 10, a = 72
mgr_S, tp = 150, ts = 4, m = 10, a = 78
mgr_S, tp = 151, ts = 4, m = 10, a = 95
mgr_S, tp = 152, ts = 4, m = 10, a = 98
acc_S, tp = 153, ts = 5, a = 42
mgr_S, tp = 154, ts = 5, m = 0, a = 12
mgr_S, tp = 155, ts = 5, m = 0, a = 46
mgr_S, tp = 156, ts = 5, m = 0, a = 56
mgr_S, tp = 157, ts = 5, m = 0, a = 88
mgr_S, tp = 158, ts = 5, m = 0, a = 98
mgr_S, tp = 159, ts = 5, m = 1, a = 10
mgr_S, tp = 160, ts = 5, m = 1, a = 16
mgr_S, tp = 161, ts = 5, m = 1, a = 24
mgr_S, tp = 162, ts = 5, m = 1, a = 30
mgr_S, tp = 163, ts = 5, m = 1, a = 42
mgr_S, tp = 164, ts = 5, m = 1, a = 64
mgr_S, tp = 165, ts = 5, m = 1, a = 88
mgr_S, tp = 166, ts = 5, m = 1, a = 94
mgr_S, tp = 167, ts = 5, m = 2, a = 30
mgr_S, tp = 168, ts = 5, m = 3, a = 6
mgr_S, tp = 169, ts = 5, m = 3, a = 60
mgr_S, tp = 170, ts = 5, m = 4, a = 72
mgr_S, tp = 171, ts = 5, m = 5, a = 14
mgr_S, tp = 172, ts = 5, m = 5, a = 34
mgr_S, tp = 173, ts = 5, m = 5, a = 82
mgr_S, tp = 174, ts = 5, m = 6, a = 48
mgr_S, tp = 175, ts = 5, m = 7, a = 16
mgr_S, tp = 176, ts = 5, m = 8, a = 14
mgr_S, tp = 177, ts = 5, m = 8, a = 28
mgr_S, tp = 178, ts = 5, m = 8, a = 58
mgr_S, tp = 179, ts = 5, m = 8, a = 64
mgr_S, tp = 180, ts = 5, m = 8, a = 96
mgr_S, tp = 181, ts = 5, m = 9, a = 22
mgr_S, tp = 182, ts = 5, m = 9, a = 34
mgr_S, tp = 183, ts = 5, m = 9, a = 38
mgr_S, tp = 184, ts = 5, m = 10, a = 6
mgr_S, tp = 185, ts = 5, m = 10, a = 34
mgr_S, tp = 186, ts = 5, m = 10, a = 80
mgr_S, tp = 187, ts = 5, m = 10, a = 81
acc_S, tp = 188, ts = 6, a = 28
acc_S, tp = 189, ts = 6, a = 48
mgr_S, tp = 190, ts = 6, m = 0, a = 0
mgr_S, tp = 191, ts = 6, m = 0, a = 14
mgr_S, tp = 192, ts = 6, m = 0, a = 18
mgr_S, tp = 193, ts = 6, m = 0, a = 22
mgr_S, tp = 194, ts = 6, m = 1, a = 22
mgr_S, tp = 195, ts = 6, m = 1, a = 40
mgr_S, tp = 196, ts = 6, m = 2, a = 0
mgr_S, tp = 197, ts = 6, m = 2, a = 14
mgr_S, tp = 198, ts = 6, m = 2, a = 16
mgr_S, tp = 199, ts = 6, m = 2, a = 24
mgr_S, tp = 200, ts = 6, m = 2, a = 58
mgr_S, tp = 201, ts = 6, m = 2, a = 70
mgr_S, tp = 202, ts = 6, m = 3, a = 50
mgr_S, tp = 203, ts = 6, m = 3, a = 62
mgr_S, tp = 204, ts = 6, m = 4, a = 88
mgr_S, tp = 205, ts = 6, m = 5, a = 2
mgr_S, tp = 206, ts = 6, m = 5, a = 98
mgr_S, tp = 207, ts = 6, m = 6, a = 76
mgr_S, tp = 208, ts = 6, m = 7, a = 10
mgr_S, tp = 209, ts = 6, m = 7, a = 36
mgr_S, tp = 210, ts = 6, m = 7, a = 64
mgr_S, tp = 211, ts = 6, m = 8, a = 18
mgr_S, tp = 212, ts = 6, m = 8, a = 66
mgr_S, tp = 213, ts = 6, m = 8, a = 78
mgr_S, tp = 214, ts = 6, m = 8, a = 82
mgr_S, tp = 215, ts = 6, m = 9, a = 42
mgr_S, tp = 216, ts = 6, m = 9, a = 54
mgr_S, tp = 217, ts = 6, m = 10, a = 10
mgr_S, tp = 218, ts = 6, m = 10, a = 76
acc_S, tp = 219, ts = 7, a = 22
acc_S, tp = 220, ts = 7, a = 96
mgr_S, tp = 221, ts = 7, m = 0, a = 2
mgr_S, tp = 222, ts = 7, m = 0, a = 8
mgr_S, tp = 223, ts = 7, m = 0, a = 86
mgr_S, tp = 224, ts = 7, m = 1, a = 32
mgr_S, tp = 225, ts = 7, m = 2, a = 94
mgr_S, tp = 226, ts = 7, m = 3, a = 30
mgr_S, tp = 227, ts = 7, m = 3, a = 54
mgr_S, tp = 228, ts = 7, m = 3, a = 56
mgr_S, tp = 229, ts = 7, m = 4, a = 4
mgr_S, tp = 230, ts = 7, m = 4, a = 20
mgr_S, tp = 231, ts = 7, m = 5, a = 36
mgr_S, tp = 232, ts = 7, m = 5, a = 72
mgr_S, tp = 233, ts = 7, m = 5, a = 78
mgr_S, tp = 234, ts = 7, m = 6, a = 4
mgr_S, tp = 235, ts = 7, m = 6, a = 14
mgr_S, tp = 236, ts = 7, m = 6, a = 30
mgr_S, tp = 237, ts = 7, m = 6, a = 66
mgr_S, tp = 238, ts = 7, m = 7, a = 42
mgr_S, tp = 239, ts = 7, m = 7, a = 44
mgr_S, tp = 240, ts = 7, m = 7, a = 50
mgr_S, tp = 241, ts = 7, m = 7, a = 72
mgr_S, tp = 242, ts = 7, m = 9, a = 8
mgr_S, tp = 243, ts = 7, m = 9, a = 10
mgr_S, tp = 244, ts = 7, m = 9, a = 36
mgr_S, tp = 245, ts = 7, m = 9, a = 46
mgr_S, tp = 246, ts = 7, m = 10, a = 33
mgr_S, tp = 247, ts = 7, m = 10, a = 42
mgr_S, tp = 248, ts = 7, m = 10, a = 56
mgr_S, tp = 249, ts = 7, m = 10, a = 58
mgr_S, tp = 250, ts = 7, m = 10, a = 64
acc_S, tp = 251, ts = 8, a = 2
acc_S, tp = 252, ts = 8, a = 6
acc_S, tp = 253, ts = 8, a = 44
mgr_S, tp = 254, ts = 8, m = 0, a = 20
mgr_S, tp = 255, ts = 8, m = 0, a = 66
mgr_S, tp = 256, ts = 8, m = 2, a = 40
mgr_S, tp = 257, ts = 8, m = 2, a = 78
mgr_S, tp = 258, ts = 8, m = 3, a = 8
mgr_S, tp = 259, ts = 8, m = 3, a = 12
mgr_S, tp = 260, ts = 8, m = 3, a = 52
mgr_S, tp = 261, ts = 8, m = 5, a = 16
mgr_S, tp = 262, ts = 8, m = 5, a = 18
mgr_S, tp = 263, ts = 8, m = 5, a = 22
mgr_S, tp = 264, ts = 8, m = 5, a = 50
mgr_S, tp = 265, ts = 8, m = 5, a = 74
mgr_S, tp = 266, ts = 8, m = 6, a = 22
mgr_S, tp = 267, ts = 8, m = 6, a = 24
mgr_S, tp = 268, ts = 8, m = 6, a = 32
mgr_S, tp = 269, ts = 8, m = 7, a = 2
mgr_S, tp = 270, ts = 8, m = 7, a = 26
mgr_S, tp = 271, ts = 8, m = 7, a = 32
mgr_S, tp = 272, ts = 8, m = 7, a = 78
mgr_S, tp = 273, ts = 8, m = 8, a = 0
mgr_S, tp = 274, ts = 8, m = 8, a = 62
mgr_S, tp = 275, ts = 8, m = 8, a = 74
mgr_S, tp = 276, ts = 8, m = 10, a = 12
mgr_S, tp = 277, ts = 8, m = 10, a = 13
mgr_S, tp = 278, ts = 8, m = 10, a = 37
mgr_S, tp = 279, ts = 8, m = 10, a = 53
mgr_S, tp = 280, ts = 8, m = 10, a = 68
mgr_S, tp = 281, ts = 8, m = 10, a = 79
mgr_S, tp = 282, ts = 8, m = 10, a = 87
mgr_S, tp = 283, ts = 8, m = 10, a = 91
acc_S, tp = 284, ts = 9, a = 56
acc_S, tp = 285, ts = 9, a = 86
acc_S, tp = 286, ts = 9, a = 92
acc_S, tp = 287, ts = 9, a = 94
mgr_S, tp = 288, ts = 9, m = 0, a = 96
mgr_S, tp = 289, ts = 9, m = 1, a = 78
mgr_S, tp = 290, ts = 9, m = 1, a = 98
mgr_S, tp = 291, ts = 9, m = 2, a = 56
mgr_S, tp = 292, ts = 9, m = 3, a = 84
mgr_S, tp = 293, ts = 9, m = 4, a = 24
mgr_S, tp = 294, ts = 9, m = 4, a = 42
mgr_S, tp = 295, ts = 9, m = 4, a = 66
mgr_S, tp = 296, ts = 9, m = 4, a = 98
mgr_S, tp = 297, ts = 9, m = 5, a = 54
